SALE_PRC,LAND_SQFOOT,OCEAN_DIST,WATER_DIST,CENTER_DIST,HIGHWAY_DIST,HOUSE_AGE
2.00E+05,8960,16331.4,1686,43753.5,12402.5,67
291500,10500,16859.9,2213.3,43784.9,11870.9,21
280000,10500,16779.2,2132.6,43798.4,11944.3,21
269000,7800,17501.4,2860.2,43861.7,11245.5,21
266500,10275,16864,2226,43975.2,11870.9,59
260000,7650,18714.7,4081.3,43860.3,10005.2,21
180000,7800,17808,3175.7,43951.4,10948.4,69
3.00E+05,8220,16489,1873.4,44186.5,12267.9,65
167500,6850,19711.1,4153.5,44192.2,9042.9,67
230000,9360,15198.7,985.8,44847.1,13469.1,26
130000,9111,17684,3171.9,44485,11059.2,67
135000,9111,17612.8,3102.3,44495.3,11121.5,67
122000,6227,18537.2,4030.7,44479.6,10164,66
155000,8580,17482.5,3104.2,44850.7,11256.6,66
160000,8633,18435.6,4039.2,44831.6,10287.3,36
247500,7620,15738.2,2003.5,45667.3,13016.8,26
105000,7680,20863.5,3021,45201.1,7890.7,61
185000,9108,15715.4,2101.4,45836.5,13034.6,61
289000,10560,15839.2,2289.5,45954.8,12904.6,39
145000,9000,19831.3,4062.9,45524.4,8937.9,69
180000,8160,18392.6,4370.3,45719.1,10380.6,36
275000,9077,19253.3,4651.4,45716,9529.5,64
240000,10425,15865.8,2431.8,46134.6,12900.6,61
276000,9000,18877.4,4843,45765.6,9901.5,41
215000,9730,14754.4,1603.9,46370.9,14018.2,41
300033,10425,15723.3,2425.5,46298.5,13054.2,31
245000,9728,19257,4656.6,45914,9543.7,21
225000,9730,14761.3,1694,46504.8,14022,66
218400,9525,20279.4,3644.1,45917.8,8529.1,21
230000,8775,13444.3,1067.6,46847.8,15341.4,63
228500,9525,18463.2,4656.2,46148,10347.8,26
171000,9730,14784.6,1945.9,46819.1,14034.2,66
150000,8636,17693.5,4188.9,46473.4,11145.1,68
278000,8500,13855.6,1535,47123.4,14963.9,57
195000,10500,16418.4,3259.3,46679.2,12413.4,66
120000,8636,17770.1,4323.2,46585.1,11073.8,69
259000,10500,16506,3412.2,46802.7,12334.7,21
250000,10500,16357.5,3297.3,46829.5,12481.2,31
240000,9506,19775.4,4241.8,46501.4,9068,36
170000,9503,19444.8,4577.5,46541.8,9406.7,41
235000,10500,19081.7,4921.2,46587.9,9752.1,21
266000,10727,20766.5,3284.7,46528.7,8075.5,31
210000,9506,20646.1,3417.3,46542.2,8211,69
336500,9506,20577.9,3474,46548.1,8268.4,21
235000,10016,15352.9,2685.1,47229,13492.3,65
132000,10031,15389.6,2942.4,47542.5,13473.7,66
262000,9315,17411.3,4578.8,47495.2,11471.4,21
229500,8100,19352.9,4889.8,47348.5,9542,16
120000,7946,16085.2,3604.8,47735.5,12810.8,67
289900,8100,19112.2,5121.7,47378.9,9779.3,26
210000,12649,14923.3,2935.6,47967.3,13971.4,45
245000,8040,17021.6,4353.2,47704.8,11888.3,36
253500,6527,20064.8,4270.7,47543.2,8811.2,36
241000,9714,20980.5,3434.3,47500.9,7911.1,21
250000,17577,20455.9,3888.4,47558.8,8384.3,46
165000,8723,19412.2,4958.5,47685.9,9505.4,31
205000,8712,18426.1,5606.7,47815.1,10494,65
240000,8712,17364.6,4795.4,47977.5,11562.6,0
179000,13900,21271.7,3222.8,47668,7606.9,31
145000,7867,20541.8,3947.3,47737.9,8378.2,41
148900,9900,15183.3,3424,48378.1,13752.4,61
158000,9900,15183.3,3424,48378.1,13752.4,61
177500,9900,15183.3,3424,48378.1,13752.4,61
215000,9052,19457.4,5049.4,47999.9,9484.7,36
210000,7740,20624.6,4045.2,48060.4,8336.5,41
267500,8385,19387.7,5206.4,48194.3,9580.4,62
140000,9042,17196.4,4796.3,48524.2,11797.9,62
165000,9042,17196.4,4796.3,48524.2,11797.9,62
3.00E+05,12655,20176.4,4501,48249.8,8771.1,21
324000,8385,19722.5,4953.8,48303.9,9255.6,21
220000,7320,20697.9,4223.5,48514,8316.8,31
3.00E+05,7800,20034,4829.4,48580.2,8984.2,21
170700,9042,14767.7,3052.2,49317.7,13404.4,61
231000,9042,17219,4461.9,48980.1,11766.6,21
217000,10500,20412,4528,48719.1,8559.6,31
180000,9042,16836.9,4161.2,49045.4,12087.4,26
220000,9042,15916.1,3509.3,49223.8,12647.7,16
315000,7650,20556.9,4478.2,48797,8453.8,16
150000,8473,17999.5,5005.3,49042.1,11042.3,63
165000,7500,19917.3,5092.3,48928.7,9107,21
243000,9042,15855.9,3326.1,49414.4,12528.2,62
249000,9042,15588.2,3158.3,49466.6,12676.7,62
227000,10850,14356.4,2610.7,49731.4,13400.9,63
270000,7500,19920.4,5156.6,49073.8,9102.4,21
310000,10500,19767.7,5249.9,49080.5,9210,21
170000,7918,17644,4543.9,49417.9,11148.8,62
235000,9042,17445.5,4340.9,49455.5,11313.7,41
170000,8680,17806.6,4639.2,49485.2,10938.4,64
105000,9042,15460.7,2820.3,49814.8,12489.7,64
2.00E+05,9042,15460.7,2820.3,49814.8,12489.7,64
155000,9042,16858.9,3768.1,49688.7,11601.8,64
170000,9042,16858.9,3768.1,49688.7,11601.8,64
275000,12675,19533.4,5699.8,49487.4,9378,36
340000,8400,20457.5,4907.1,49479.5,8565,21
150000,9042,14943.6,2246.5,50242.9,12535.3,61
155000,9042,16928.3,3663.1,49995.6,11293.3,70
215000,9042,16066.8,2932.8,50151.3,11762.6,65
343000,8400,20824.7,4765.6,49782.1,8148.1,21
270000,8250,18290.6,4816.9,50073.6,10201.7,62
149000,8910,17329.2,3882.5,50247.1,10812.2,21
265000,8910,17329.2,3882.5,50247.1,10812.2,21
287000,8400,19533.1,5934.5,50196,9005.1,21
270000,8645,17927.1,4394.4,50346.3,10371.4,36
2.00E+05,12691,19319,5718.1,50242.3,9124.5,31
284000,8400,19536.8,5919.8,50277.7,8963.6,21
238000,8486,18088.5,4514.6,50435.5,10185.2,31
183000,5000,15977.5,2527.7,50786.8,11355.4,21
3.00E+05,6760,17937.7,4342.8,50554.9,10200.1,21
249900,5900,16797.4,3186.7,50880.6,10674,21
197000,4500,15638.4,2112.3,51087.6,11383.3,26
197000,4500,15992.3,2400,51110.3,11097.9,26
185000,7472,20275.6,5711,50695.4,8101.4,46
220000,7472,20275.6,5711,50695.4,8101.4,46
198000,8850,20637.6,5422.5,50714.6,7760.4,36
245000,4500,16424.2,2745.2,51242.3,10676,21
125000,5400,16418.2,2707.1,51367.6,10576.3,31
138000,4500,16133.2,2427.2,51420.5,10755.6,36
113500,5850,16620.4,2890.9,51386.8,10406.5,41
285000,8699,20507.3,5689.2,51037.8,7715.3,21
218000,8956,17973.8,4224.2,51264.7,9567.2,36
211000,4500,16236.3,2506.5,51490.9,10623.4,26
247000,6741,17315.5,3553.9,51460,9850.5,21
110000,5000,16205.4,2432.9,51722.6,10466,66
294000,7215,18286.3,4507.8,51471,9196,21
269000,6250,17266.7,3487.5,51612.2,9767.6,26
191500,5000,15788.8,1997.9,51934.7,10623.4,31
320000,16561,12979.4,0,52488.9,12375,64
209000,6600,19714.2,5876.7,51646.3,8212.6,26
172000,6000,15921.9,2115.9,52064.2,10431.7,36
2.00E+05,8072,19902.5,5947.6,51764.6,7982.6,22
183000,7799,17585.7,3763.5,52084.4,9161.9,31
160000,6890,19089.8,5226.9,51985.3,8300.6,36
195000,6435,19985.7,5914.1,51912,7868.9,16
165000,6635,19272.2,5310.8,52020.7,8163.4,36
319500,6600,19567.6,5474.4,52085.4,7922.5,16
152000,6300,18056.3,4217.2,52260.9,8721,31
185000,6600,15317.3,1468.6,52686,10460.6,26
175600,6000,16866.9,3014.1,52558.3,9348,36
165000,6000,16767.5,2914.2,52575.8,9410.6,36
274000,6480,18530.5,4518.7,52406.5,8288.1,26
153900,8100,16451.1,2593.3,52665.4,9569.2,31
211000,8400,15997.5,2137.5,52755,9860,21
165000,5724,16736.7,2876.5,52719.2,9336.2,36
211000,10440,15069.8,1214.4,53052.3,10371.9,41
150000,8542,18468.1,4276.6,52680.7,8103.6,46
263000,8438,20442.2,5836.6,52567.5,7047.9,16
165000,8100,16356.4,2499.2,52985.7,9426.3,36
185000,6300,13200.1,354.1,53533.9,11662.4,64
209500,8914,16507.8,2665.4,53138.2,9205.5,36
140000,7493,13897.7,541.5,53559.9,11014.4,64
180000,7875,20824.6,5957.4,52802.8,6664.8,31
256000,6825,20405,5618.7,52837.8,6849.2,31
160000,9517,13930.5,612,53629,10949.3,64
250000,8400,13557.2,611.8,53710.4,11227.7,64
225000,7500,18856.2,4339.7,53019.6,7607.6,31
160000,6950,13700.1,790.7,53860.4,11019.8,62
230000,7936,15693.7,1963.8,53574.8,9544.9,31
235000,7500,19182.6,4444.1,53224.5,7237,26
225000,5850,14181.8,964.1,53909,10582.7,31
230000,7440,17807.5,3310.5,53400,8043,36
202000,7875,21900.9,5829,53227.8,5667.7,41
218000,7875,20881.6,5652.7,53315.9,6186.2,41
254000,7080,14932.6,1480.7,53938.6,9917.2,21
186000,6890,20312.5,5179.8,53415.6,6419.1,31
175000,8056,18632.4,3821.5,53547.7,7356.2,31
270000,5800,16122.6,2013.3,53848.6,9038.5,21
147000,6697,17939.1,3228.2,53721.8,7730.3,46
138000,6400,17596.4,2913.5,53784.1,7937.3,31
2.00E+05,6400,17596.4,2913.5,53784.1,7937.3,31
289000,15750,21850.8,5973.7,53486.4,5568.2,21
327000,8441,20751.1,5388.5,53586.9,6020.5,16
220000,7314,17327,2611.7,53958,8027.1,62
160000,7980,17151,2472.9,53984.4,8125.1,64
155000,7980,17085.6,2421.4,53995.6,8170.6,64
195000,6890,19984.2,4619.7,53902.7,6210.6,21
149900,6500,20366.9,4597.1,54337,5622.7,31
235000,7983,21511.9,5322.6,54562.1,4800.1,31
232000,7600,18568.4,2590.6,55380.3,6092.8,31
225000,7600,18419.2,2468,55401.5,6190.1,36
229000,7600,18343.2,2405.7,55411.8,6237.1,26
165800,7600,18650.3,2589.7,55462.3,5964.8,36
145000,6750,26237.6,4958,55466.3,1269.7,90
190000,8176,13015.3,217.3,56463.7,10193.4,70
185000,6300,24368.9,5922.3,55528,2512.4,31
2.00E+05,9900,20794.8,4006.3,55732.3,4256.4,62
2.00E+05,7150,20581,3832.2,55751.9,4376,61
143000,6180,25357.4,5654.9,55791.5,1664.1,36
190000,6240,25120.3,5769.6,55795.5,1820.8,36
240000,7280,21720.4,4661.2,55809.2,3632.5,31
140000,6649,24272.8,6212.8,55795.2,2397.1,36
210000,6480,26023.5,5469.7,55897.9,1155.8,21
182000,6480,25656.7,5626.2,55898.7,1392.6,26
230000,9968,21874.9,4713.6,55908,3467.4,31
215000,6300,15313.2,248.6,56527.8,8045.8,31
225000,6785,15062.8,449.2,56572.8,8242.2,41
199000,6180,25328.7,5913.8,56050,1517.1,26
350000,8480,19258,2526,56225,4987.7,41
277000,8750,14835.2,716.1,56753.5,8343,21
160100,5775,23019.2,5470.8,56112.6,2764.7,31
230000,6480,25684.1,5863.6,56161.6,1192.7,26
129000,5300,23155.3,5577.2,56154.8,2707.3,80
140000,6180,25403.5,6020.7,56200.4,1355.8,36
257500,7280,21508.2,4227.2,56212.2,3438.2,21
220000,6588,24844.1,6282.1,56195.2,1730.3,21
198000,6480,24488.5,6461.5,56207,1960,26
2.00E+05,6435,15751.1,104.2,56786.8,7517.4,41
135000,6200,22839.5,5254.1,56256.1,2734.8,36
369000,11394,15549.2,245.5,56819.1,7646.4,70
175000,6480,24618.4,6475.6,56315.2,1808.2,46
195000,5000,15878.1,98.4,56885.6,7374.6,41
180000,5000,15831.2,137,56893.5,7412.5,31
192000,2750,14232.6,1161.6,57188,8770.4,37
130000,7440,22415.8,4789.5,56408.5,2759.4,31
290000,7768,18919.6,1974.1,56683.9,4940.8,36
150000,3000,12342.4,1298.8,57671.1,10070.5,35
140000,5500,24548.2,6216.7,56578.5,1687.8,31
140000,5500,24494.9,6184,56580.1,1718,46
175000,5500,24393.5,6121.8,56583.6,1782,36
240000,5000,23737,5687.8,56612.8,2059.3,16
250000,6000,23475,5485.5,56624.7,2137.5,31
213000,5800,15934.9,268.8,57202.1,7154.1,31
210000,8424,25048.2,6393.2,56726.3,1229.8,43
147100,6859,26244,6309.2,56842.9,359.7,41
284000,9375,12829.2,1559,57836.5,9497.2,59
2.00E+05,9375,12661.2,1567.5,57877,9609.9,63
315000,7125,22492.9,4542.8,56892.2,2345.4,26
247000,6879,26257.1,6407.7,56955.1,293.2,16
196000,9180,17141.1,269.9,57299.1,6028.8,45
315000,5400,15262.1,1001.3,57577.6,7632.8,16
149000,8273,20037.6,2534.7,57080.8,3846.9,62
329000,7725,18099.6,937.9,57316,5201.7,36
160000,7241,15865.8,571.5,57586.4,7043,36
176000,5000,24731,5784.4,57225.9,1103.5,26
247000,7800,22815,4516.3,57257.5,1846.8,26
235000,5500,14896.8,1526.5,57972.9,7776.8,26
251000,7575,23879.4,5152.2,57357.4,1330.1,43
240000,5850,16130,598.3,57881.1,6696.4,21
303000,5550,14651.6,1812.9,58157.8,7837.9,11
2.00E+05,7875,21117.2,3040.3,57528.6,2782.5,36
171000,5850,16900.4,93.6,57945.1,5955.3,60
266000,7875,21199.6,3035.6,57617.4,2654.7,21
260000,5850,12096.5,2143.1,58735.2,9403.4,16
104700,5850,16367,530.5,58036.9,6406.1,60
209000,3151,11934.3,1985.3,58839.7,9482.5,16
209000,5550,14917.8,1720.4,58300.6,7528.9,21
335000,13228,18959.1,1207.6,57800.6,4193.1,62
215000,5900,13341.9,2450.7,58634.1,8538.5,26
198000,5850,16044,877.4,58223.1,6622.4,41
265000,7500,18636.7,904.1,57972.2,4388.7,41
205000,5600,14272.9,2337.6,58566.1,7847.8,21
297000,5900,13556,2577.2,58722.5,8307.3,16
245000,7600,17884.4,246.5,58142.9,4942,60
128000,9825,24299.6,4967.8,57838.1,718.6,58
230000,6050,12830.7,2586.3,58883.7,8737.6,26
235000,6100,12358,2204.8,59000.5,8987.1,45
280000,8860,11945.4,1850.3,59107.1,9206.8,21
476500,10125,21939.7,3339.9,57984.3,1848,21
315000,10575,24098.1,4718.8,57973.7,658.1,41
339000,8850,25205.8,5426.9,58023.2,237.9,21
232000,5850,16806.7,461.3,58421.8,5812.8,21
250000,8100,20913,2492.5,58139.7,2498.3,61
249000,7020,15296.1,1688,58683.6,6941.7,56
220000,11175,24961,5205.2,58063.1,256.4,46
405200,10977,17872.5,65.7,58441.7,4771.4,21
225000,6678,13758,2954.9,59058.8,7901.2,26
150000,5750,14719,2307.4,59000.2,7189.5,46
420500,14300,22012.7,3165.2,58300.5,1570,41
379300,9570,20389,1904.3,58440.2,2666.7,21
235000,5700,16925.9,579,58735.5,5570.4,21
360000,8100,20936.3,2315.8,58442.4,2270.3,16
240000,10500,23300.9,3934.3,58348.5,687.8,31
385000,7875,18529.8,329.2,58717,4072.5,21
320000,6780,13637.5,2966.9,59365,7768.3,26
290000,7311,20685.1,2014.2,58620.3,2349.6,36
360000,7547,22887.9,3539.7,58572.2,804.3,21
265000,7800,21964.1,2923.5,58637,1397.6,16
236500,5700,17566.2,269.3,58967.1,4878.5,16
343000,7794,23051.6,3557.1,58660.5,627.1,21
126600,7800,22280.3,3062.9,58707.8,1126.7,60
340000,6877,19946.6,1310,58844.2,2792,26
230000,6372,15861.1,1661.3,59245,6127.9,36
190000,5750,15814.6,1710.8,59255.6,6157.2,36
220000,7500,14069.2,3084.5,59581.1,7273.6,31
293000,6780,13622.7,2824,59696.2,7529.9,21
227000,8625,14077,3119.2,59639.9,7236,62
235000,9068,22432.8,3043.5,58851.7,910.5,36
252500,6901,17177.3,713.1,59212.4,5128.6,64
170000,6900,15798.5,1837.4,59444.1,6021.5,64
201000,5700,17502.2,543.6,59305.8,4820.5,63
355000,8080,19250.2,573.4,59155,3228.1,21
224000,7500,22450.7,2925.7,59014.8,793,21
310000,8268,20467.2,1505.3,59124.8,2195.6,26
239000,7500,22895.1,3147,59067,443.4,31
180000,7500,23036.6,3224.8,59070.6,338,60
243000,7500,22366.3,2749,59175.5,748.4,36
195000,7500,23193.5,3261.8,59143.5,191.2,46
274900,7500,23143.8,3191,59192.9,191.9,26
330000,7500,20335.9,1285.5,59318.6,2207.1,21
315300,7500,22018.1,2470.3,59235.8,953.2,59
220000,7500,22885,3004.3,59225.4,341.1,41
255000,7500,21310.5,1977.9,59330.1,1409,41
2.00E+05,7493,17370.9,852.1,59647.7,4673.8,36
168000,5700,17180.2,1025.6,59677.8,4812.7,64
335000,7800,19554.5,546.8,59521.9,2799.4,59
3.00E+05,7800,19478.2,484.3,59530.2,2863.8,60
155500,7500,14160.3,2858.9,60199.2,6768.5,62
357500,7500,20826.3,1436.8,59592.4,1645.2,11
285000,7500,21149.4,1546.7,59720.6,1321.9,36
179000,5600,12951.5,1936.1,60716.3,7254.1,66
460000,7800,19526.9,274.2,59890.8,2693.9,59
2.00E+05,5600,12242.5,1215.2,60886.2,7636.4,65
280000,5650,13752.8,2688.3,60667.3,6721.5,36
150000,5650,13655.1,2599.2,60689.7,6776.9,36
151500,5700,17662,1007,60141.2,4150.8,60
3.00E+05,8382,12709.5,1676.5,60903.9,7285.1,26
210000,5600,12662.6,1628.8,60920.4,7314.1,31
235000,5650,13348.7,2203.4,60950.7,6794.2,36
201000,5750,15754.7,1665.4,60589.6,5311.9,64
205000,5750,15214.7,1884.5,60692.6,5659.4,31
187500,5588,14916.7,1964.8,60751.8,5835.7,59
199300,5700,18316.3,708,60384.6,3505.6,58
160000,5650,13363.4,2144.6,61082.3,6684.1,56
265000,5750,15245.1,1700.6,60883,5503.5,21
255200,7575,19863.3,166.9,60409.7,2214.1,59
260000,7639,17519.2,1234.4,60634.2,3921,26
187900,5194,17032.2,1194.9,60714.2,4265.2,61
205000,8509,12916.8,1634,61373.3,6763.3,36
270000,5750,15406.1,1525.1,60993.3,5302.1,21
195000,5650,13936.6,2171.6,61280.5,6116.8,26
2.00E+05,9503,13603.1,2239.5,61346.8,6282.2,66
216500,8509,13446.9,2081.5,61382.9,6376.6,41
253000,5650,13390.7,2027.2,61399.6,6409.4,26
190000,5750,16327.6,1047.7,61023.5,4589.9,62
550000,11375,20522.7,379,60646.8,1508,16
237000,5750,18617.3,789.5,60815,3001,41
145000,5750,18523.2,867,60827.6,3062.5,60
170000,5700,17629.3,905.8,60947.2,3645.8,36
150000,5405,17364.6,907.4,60987.6,3822.7,60
345000,8475,13090.9,1665.5,61658.1,6405.2,11
177500,5600,12489.8,1082.1,61799.6,6744.3,31
178000,5750,15248.1,1261.3,61354.3,5145,61
285000,5650,13276.1,1793.8,61754.6,6218.7,21
365000,14280,12960.5,1496.8,61810,6349.2,41
405000,8546,12270.3,824.6,61974,6754.9,11
230000,12859,19510.9,267.1,61013.3,2165.8,56
3.00E+05,7860,18908.1,521,61149.1,2542.1,11
225000,6045,13335,1757.2,61974.9,6017.9,21
4.00E+05,10714,11297.1,10.5,62441.1,7161.7,56
231000,6045,13351,1708.9,62101.8,5909.9,26
260000,7990,19459.5,187.1,61357.8,1999.7,31
610000,11173,21567.8,519.8,61241.3,310.1,21
749000,8669,21579,384.4,61324.1,308.4,6
215000,6640,21723.8,495.8,61377.7,163.6,47
130000,5750,28549.7,5093.6,39330.2,314.7,40
2.00E+05,6840,26529.5,3298.2,39231,2337.7,66
270000,13500,27030,3683.6,39352.6,1776.1,61
219800,15070,25674.2,2517.6,39374.6,3015,35
230000,7588,24656.4,1454.8,39656.2,4175.2,61
3.00E+05,13500,28236.8,4561,39953.2,547.4,66
108000,6840,26278.7,2828.3,39779,2561.5,66
338000,7500,24608.1,1347.6,39799.1,4221.4,61
226800,7301,25188.4,1835.2,39884.4,3602.2,40
259800,13500,27757.7,4073.6,40058.3,1016.9,35
236400,7301,24946.2,1619,39885,3849.3,40
245000,7301,25177,1772,40015.9,3601.8,30
405000,9075,23883.2,619.9,39993.1,4925.5,26
210000,8775,23810.3,555.3,40003.9,5004.1,56
145000,9750,27775.3,4032.2,40246.5,1010.8,63
3.00E+05,7500,24433.6,1087.2,40060.9,4373.1,48
165000,7590,24578.9,1176.6,40151.8,4224.2,61
218000,10125,27542.8,3774.2,40370.3,1237.5,63
133000,6840,26014.7,2325.8,40443.6,2786.3,66
365000,10200,23302.8,0,40404.7,5410.3,21
270000,7500,25041,1330.4,40759.1,3733,26
252000,7350,25592.2,1775.3,40870.9,3131,35
175000,8339,25937.4,2066.9,40999.5,2814.6,66
72000,6840,25881.5,2013.9,40998.6,2891.9,66
250000,11625,23326,13.3,41077.2,5283.2,63
127000,9600,26971.5,2995.7,41344.8,1773.2,63
225000,9600,26896.5,2922.3,41342.2,1846.1,35
360000,11799,25881.2,1932.8,41352.2,2813.5,15
3.00E+05,7957,24430.5,555.8,41338.6,4280.1,16
190000,8625,22108.1,1300.3,41419.7,6632.5,51
180000,8400,25939.9,1949.5,41500.1,2810,40
108000,10125,28406.1,4375,41740.9,327.1,63
210000,6060,26287.5,2290.1,41584.8,2416.1,40
206900,6060,26286.2,2279.2,41643.8,2415.5,30
178000,8118,26937.8,2917.2,41663.6,1803.3,40
290000,7957,24684.1,717.2,41631.7,4017.7,30
445000,8625,23157.7,474.5,41593.9,5577.6,17
140000,7320,28359.1,4316.7,41935.8,386.4,30
325000,16500,22925.4,693.8,41633.3,5808,56
240000,9042,24576.6,579.2,41778,4126.1,35
420000,33946,23975.1,7.5,41688.1,4623.5,53
320000,8018,24957.3,924.3,41905.7,3763.2,25
141000,8400,25811.5,1766.6,41968.3,2932.8,66
185000,7125,22243.5,1488.7,42079.2,6494.1,68
620000,16650,23705.9,0,42093.8,4852.9,16
230000,8625,21736.1,1930.6,42118.7,6989.8,63
215000,8956,27386.2,3338.6,42351.4,1345,66
157000,7920,26849.4,2802.2,42329.5,1887.6,40
280000,7300,24373,324.3,42270.5,4355.5,35
324000,8625,23073.1,789,42257.3,5656.4,26
170000,7920,28470.6,4421.6,42602.2,270.1,35
187500,7920,28110,4061.1,42578,626.5,35
220000,7920,27034.7,2986.7,42518.9,1708.6,35
310000,7300,24441.3,395.5,42411.2,4276.8,21
